ZIP,CITY,STATE,LAT,LON
600114,Jurong,SG,1.3329,103.7436
169608,Outram,SG,1.2848,103.8372
308433,Novena,SG,1.3210,103.8454
119074,Kent Ridge,SG,1.2924,103.7827
